样本编号,年级,专业类别,月可支配生活费,半年短途出行次数,目的地类型,同行人,单次出行预算,预算占比最大项,提前规划时间,信息获取渠道,遇到的困扰(多选),最严重的困扰,是否用过行程规划工具,对工具不满意的地方,最希望的功能(多选),最愿意付费的功能,倾向的使用形式,偏好的内容风格,其他未满足需求,是否愿意参与访谈(留微信),答题时长(秒),提交时间
S193,大四,经管类,2501-3000元,5-6次,城市人文,室友/同学(2-3人),201-400元,交通,提前1-2周,小红书、B站,攻略信息太分散，多APP切换、缺少学生视角的预算参考、小众目的地信息太少、没有现成行程模板,小众目的地信息太少,完全没听说过,,小众目的地种草、现成学生党行程模板,独家小众目的地攻略,网页版,图文精美,希望有雨天备选方案,,249,2026-09-10 12:37:00
S194,大三,艺术类,1501-2000元,1-2次,美食探店、网红打卡点,独自一人,601-800元,餐饮,提前1-2天,B站、小红书、抖音,攻略信息太分散，多APP切换、住宿选择困难,没有现成行程模板,听说过但没用过,,交通接驳指南、按预算推荐目的地和行程、旅行记账与AA分摊、当地美食红黑榜,其他,微信小程序,图文精美,高铁票抢票攻略也想要,,92,2026-09-05 14:51:03
S195,大四,文史哲类,2001-2500元,1-2次,城市人文、高校校园参观,男/女朋友,201-400元,门票/体验项目,提前1-2天,抖音、朋友推荐,攻略信息太分散，多APP切换、没有现成行程模板,小众目的地信息太少,偶尔使用,交通时间不准、行程模板太少、操作太复杂,交通接驳指南、实时避坑提醒、小众目的地种草,都不愿意付费,微信小程序,图文精美,希望能看到目的地的天气和穿搭建议,,191,2026-09-07 10:02:32
S196,大二,文史哲类,1000-1500元,3-4次,高校校园参观,朋友小团体(4人以上),401-600元,交通,提前3-7天,B站,缺少学生视角的预算参考、一人出行难拼车/找搭子、交通接驳信息不清晰、攻略质量参差不齐，广告多,缺少学生视角的预算参考,听说过但没用过,,实时避坑提醒、小众目的地种草,都不愿意付费,微信小程序,简洁高效(直接给结论),行李寄存的点能不能标注出来,,229,2026-09-02 21:32:01
S197,大一,艺术类,1000-1500元,1-2次,城市人文、自然风景,朋友小团体(4人以上),201-400元,餐饮,提前1-2周,OTA平台(携程/马蜂窝)、小红书,攻略质量参差不齐，广告多、攻略信息太分散，多APP切换、一人出行难拼车/找搭子,攻略质量参差不齐，广告多,听说过但没用过,,小众目的地种草、按预算推荐目的地和行程,都不愿意付费,网页版,专业严谨数据详实,希望能有夜生活安全的提示,,288,2026-09-10 14:44:43
S198,研二及以上,医学类,2501-3000元,1-2次,城市人文,室友/同学(2-3人),200元以下,购物/伴手礼,提前2周以上,抖音,交通接驳信息不清晰、没有现成行程模板,小众目的地信息太少,偶尔使用,不能协同编辑、操作太复杂,按预算推荐目的地和行程、住宿区域推荐、旅行记账与AA分摊,AI高级行程定制,网页版,简洁高效(直接给结论),,,292,2026-09-07 09:21:00
S199,大一,旅游/酒店管理类,1501-2000元,3-4次,周边乡村/古镇、美食探店,朋友小团体(4人以上),401-600元,住宿,提前3-7天,朋友推荐、知乎、B站,攻略质量参差不齐，广告多、攻略信息太分散，多APP切换、没有现成行程模板,攻略质量参差不齐，广告多,听说过但没用过,,按预算推荐目的地和行程、交通接驳指南、当地美食红黑榜、小众目的地种草,独家小众目的地攻略,小红书/抖音账号+社群,简洁高效(直接给结论),希望能有省钱技巧的汇总,,136,2026-09-10 19:21:58
S200,大三,旅游/酒店管理类,2001-2500元,1-2次,周边乡村/古镇、自然风景,室友/同学(2-3人),1000元以上,餐饮,提前1-2天,朋友推荐、微博,攻略质量参差不齐，广告多、小众目的地信息太少、交通接驳信息不清晰,攻略信息太分散，多APP切换,偶尔使用,不能按预算调整、不能协同编辑、推荐太商业化,现成学生党行程模板、按预算推荐目的地和行程、实时避坑提醒,AI高级行程定制,微信小程序,有趣好玩有梗,拍照机位能不能标注出来,愿意-wx_cpweijmm,91,2026-09-09 13:57:09
S201,大四,旅游/酒店管理类,2001-2500元,1-2次,高校校园参观,室友/同学(2-3人),401-600元,门票/体验项目,提前1-2天,朋友推荐,住宿选择困难、攻略信息太分散，多APP切换,攻略信息太分散，多APP切换,听说过但没用过,,实时避坑提醒、按预算推荐目的地和行程、现成学生党行程模板,都不愿意付费,独立APP,图文精美,周末短途游的推荐能不能更精准一些,,173,2026-09-06 22:08:07
S202,大四,文史哲类,1501-2000元,5-6次,网红打卡点,朋友小团体(4人以上),401-600元,交通,提前1-2天,朋友推荐、抖音、OTA平台(携程/马蜂窝),小众目的地信息太少、没有现成行程模板,攻略信息太分散，多APP切换,偶尔使用,推荐太商业化、其他,实时避坑提醒、小众目的地种草、出行搭子匹配、住宿区域推荐,都不愿意付费,微信小程序,真实接地气(学长学姐经验),能不能有毕业旅行的专题,,122,2026-09-07 09:25:48
S203,大一,旅游/酒店管理类,1000-1500元,5-6次,其他、周边乡村/古镇、网红打卡点,家人,201-400元,门票/体验项目,提前3-7天,朋友推荐、抖音,攻略信息太分散，多APP切换、缺少学生视角的预算参考、没有现成行程模板、美食探店容易踩雷,没有现成行程模板,偶尔使用,推荐太商业化,当地美食红黑榜、行程共享与协同编辑、住宿区域推荐、小众目的地种草、按预算推荐目的地和行程,AI高级行程定制,微信小程序,真实接地气(学长学姐经验),高铁票抢票攻略也想要,,218,2026-09-05 12:05:32
S204,大三,文史哲类,2001-2500元,1-2次,网红打卡点,朋友小团体(4人以上),401-600元,门票/体验项目,提前1-2天,其他、小红书,住宿选择困难、攻略质量参差不齐，广告多,缺少学生视角的预算参考,偶尔使用,推荐太商业化、不能按预算调整,小众目的地种草、旅行记账与AA分摊,都不愿意付费,都可以,简洁高效(直接给结论),希望能和同校的人组队出行,,152,2026-09-10 19:08:45
S205,大二,医学类,1000-1500元,3-4次,网红打卡点,室友/同学(2-3人),200元以下,餐饮,提前1-2周,小红书,美食探店容易踩雷、没有现成行程模板、缺少学生视角的预算参考,没有现成行程模板,听说过但没用过,,行程共享与协同编辑、交通接驳指南、其他、当地美食红黑榜,都不愿意付费,小红书/抖音账号+社群,简洁高效(直接给结论),青旅的真实评价太少了,愿意-wx_ezez5ehr,271,2026-09-03 17:23:58
S206,研二及以上,艺术类,1501-2000元,1-2次,自然风景、主题乐园、城市人文,室友/同学(2-3人),401-600元,交通,说走就走,小红书,攻略信息太分散，多APP切换、美食探店容易踩雷、攻略质量参差不齐，广告多、住宿选择困难,缺少学生视角的预算参考,偶尔使用,操作太复杂,交通接驳指南、实时避坑提醒、出行搭子匹配、小众目的地种草,都不愿意付费,小红书/抖音账号+社群,图文精美,拍照机位能不能标注出来,,274,2026-09-08 19:28:09
S207,研一,理工类,2001-2500元,3-4次,自然风景、网红打卡点,室友/同学(2-3人),200元以下,餐饮,提前3-7天,OTA平台(携程/马蜂窝)、微博,没有现成行程模板、住宿选择困难,交通接驳信息不清晰,听说过但没用过,,当地美食红黑榜、按预算推荐目的地和行程,其他,独立APP,图文精美,,,208,2026-09-01 10:42:59
S208,大三,其他,1000-1500元,1-2次,网红打卡点、美食探店、城市人文,朋友小团体(4人以上),201-400元,餐饮,提前3-7天,抖音,缺少学生视角的预算参考、住宿选择困难,攻略质量参差不齐，广告多,偶尔使用,不能按预算调整,按预算推荐目的地和行程、现成学生党行程模板,都不愿意付费,微信小程序,简洁高效(直接给结论),希望能有旅行vlog的模板,,262,2026-09-01 13:24:06
S209,大二,理工类,1501-2000元,1-2次,城市人文,室友/同学(2-3人),601-800元,交通,提前3-7天,抖音、小红书,没有现成行程模板、攻略信息太分散，多APP切换、交通接驳信息不清晰、美食探店容易踩雷,攻略信息太分散，多APP切换,听说过但没用过,,现成学生党行程模板、交通接驳指南,都不愿意付费,微信小程序,简洁高效(直接给结论),希望能有大学生优惠门票的汇总信息,,208,2026-09-04 21:09:23
S210,大三,经管类,1000-1500元,7次及以上,主题乐园、城市人文,男/女朋友,201-400元,购物/伴手礼,说走就走,小红书,其他、住宿选择困难、攻略质量参差不齐，广告多、缺少学生视角的预算参考,攻略质量参差不齐，广告多,偶尔使用,行程模板太少,当地美食红黑榜、出行搭子匹配、其他、行程共享与协同编辑,独家小众目的地攻略,独立APP,有趣好玩有梗,,,272,2026-09-08 13:15:42
S211,研二及以上,理工类,1501-2000元,3-4次,网红打卡点,室友/同学(2-3人),1000元以上,餐饮,说走就走,OTA平台(携程/马蜂窝),没有现成行程模板、小众目的地信息太少、缺少学生视角的预算参考、攻略信息太分散，多APP切换,住宿选择困难,听说过但没用过,,实时避坑提醒、出行搭子匹配,都不愿意付费,微信小程序,专业严谨数据详实,,,171,2026-09-07 11:53:49
S212,大四,其他,1000-1500元,3-4次,自然风景,室友/同学(2-3人),200元以下,交通,提前2周以上,小红书、朋友推荐,住宿选择困难、攻略质量参差不齐，广告多、一人出行难拼车/找搭子,攻略信息太分散，多APP切换,听说过但没用过,,按预算推荐目的地和行程、旅行记账与AA分摊、当地美食红黑榜,独家小众目的地攻略,微信小程序,简洁高效(直接给结论),青旅的真实评价太少了,,248,2026-09-10 19:43:38
S213,大三,经管类,1000-1500元,1-2次,高校校园参观、网红打卡点,男/女朋友,401-600元,交通,提前1-2周,其他,交通接驳信息不清晰、美食探店容易踩雷、攻略信息太分散，多APP切换、缺少学生视角的预算参考,没有现成行程模板,听说过但没用过,,小众目的地种草、其他、现成学生党行程模板、当地美食红黑榜,都不愿意付费,微信小程序,图文精美,希望能和同校的人组队出行,愿意-wx_7tlom539,137,2026-09-07 10:58:15
S214,大二,理工类,1000元以下,3-4次,主题乐园,男/女朋友,401-600元,餐饮,提前1-2天,小红书、抖音,住宿选择困难、没有现成行程模板、攻略质量参差不齐，广告多,攻略信息太分散，多APP切换,听说过但没用过,,住宿区域推荐、交通接驳指南、按预算推荐目的地和行程,无广告纯净体验,微信小程序,有趣好玩有梗,,,95,2026-09-08 09:19:39
S215,大三,经管类,2001-2500元,3-4次,网红打卡点、自然风景,朋友小团体(4人以上),401-600元,门票/体验项目,提前1-2周,小红书、抖音、朋友推荐,缺少学生视角的预算参考、美食探店容易踩雷,小众目的地信息太少,听说过但没用过,,交通接驳指南、按预算推荐目的地和行程、住宿区域推荐,都不愿意付费,网页版,专业严谨数据详实,高铁票抢票攻略也想要,,145,2026-09-06 15:30:46
S216,大三,经管类,1000-1500元,0次,,,,,,,缺少学生视角的预算参考、一人出行难拼车/找搭子,交通接驳信息不清晰,听说过但没用过,,按预算推荐目的地和行程、现成学生党行程模板,AI高级行程定制,微信小程序,简洁高效(直接给结论),希望能看到实时的景区人流量,愿意-wx_s44phh62,167,2026-09-04 19:30:44
S217,大三,文史哲类,2001-2500元,5-6次,高校校园参观、美食探店、自然风景,室友/同学(2-3人),401-600元,门票/体验项目,说走就走,B站,交通接驳信息不清晰、没有现成行程模板、攻略质量参差不齐，广告多,缺少学生视角的预算参考,听说过但没用过,,出行搭子匹配、小众目的地种草、行程共享与协同编辑,无广告纯净体验,微信小程序,简洁高效(直接给结论),一个人旅行的安全问题能不能有提示,愿意-wx_pw6m9hkh,147,2026-09-03 14:54:35
S218,大二,经管类,1000-1500元,1-2次,城市人文,朋友小团体(4人以上),201-400元,门票/体验项目,说走就走,抖音,缺少学生视角的预算参考、攻略质量参差不齐，广告多,缺少学生视角的预算参考,完全没听说过,,行程共享与协同编辑、按预算推荐目的地和行程、实时避坑提醒、出行搭子匹配,独家小众目的地攻略,微信小程序,简洁高效(直接给结论),,,142,2026-09-01 21:39:37
S219,大二,文史哲类,2001-2500元,1-2次,美食探店,室友/同学(2-3人),201-400元,餐饮,提前3-7天,小红书,小众目的地信息太少、交通接驳信息不清晰、攻略质量参差不齐，广告多、缺少学生视角的预算参考、美食探店容易踩雷,交通接驳信息不清晰,听说过但没用过,,按预算推荐目的地和行程、住宿区域推荐、交通接驳指南、小众目的地种草、旅行记账与AA分摊,都不愿意付费,独立APP,图文精美,,,309,2026-09-04 16:55:15
S220,大二,理工类,2501-3000元,3-4次,自然风景、城市人文,男/女朋友,401-600元,住宿,提前1-2天,抖音,缺少学生视角的预算参考、没有现成行程模板、住宿选择困难,攻略质量参差不齐，广告多,听说过但没用过,,小众目的地种草、现成学生党行程模板、按预算推荐目的地和行程,都不愿意付费,微信小程序,简洁高效(直接给结论),希望能有大学生优惠门票的汇总信息,,317,2026-09-04 10:07:04
S221,大二,文史哲类,1501-2000元,3-4次,自然风景、周边乡村/古镇,朋友小团体(4人以上),401-600元,餐饮,提前2周以上,朋友推荐、B站、小红书,攻略质量参差不齐，广告多、缺少学生视角的预算参考、其他、一人出行难拼车/找搭子,小众目的地信息太少,完全没听说过,,小众目的地种草、交通接驳指南,都不愿意付费,微信小程序,简洁高效(直接给结论),希望能和同校的人组队出行,,133,2026-09-08 12:33:37
S222,大四,教育类,2001-2500元,3-4次,自然风景,室友/同学(2-3人),801-1000元,餐饮,提前1-2天,微博、小红书,没有现成行程模板、攻略信息太分散，多APP切换、美食探店容易踩雷,攻略信息太分散，多APP切换,完全没听说过,,现成学生党行程模板、小众目的地种草、当地美食红黑榜,都不愿意付费,独立APP,真实接地气(学长学姐经验),,,88,2026-09-03 11:21:36
S223,大三,艺术类,2001-2500元,5-6次,城市人文、自然风景,朋友小团体(4人以上),201-400元,交通,提前3-7天,OTA平台(携程/马蜂窝)、抖音,攻略信息太分散，多APP切换、没有现成行程模板,交通接驳信息不清晰,偶尔使用,操作太复杂,现成学生党行程模板、当地美食红黑榜、按预算推荐目的地和行程,都不愿意付费,微信小程序,有趣好玩有梗,音乐节+旅行的组合攻略想要,,108,2026-09-03 17:26:30
S224,大四,理工类,2501-3000元,1-2次,自然风景,男/女朋友,801-1000元,交通,提前3-7天,大众点评,攻略质量参差不齐，广告多、攻略信息太分散，多APP切换、缺少学生视角的预算参考,小众目的地信息太少,听说过但没用过,,小众目的地种草、交通接驳指南、住宿区域推荐、现成学生党行程模板、实时避坑提醒,AI高级行程定制,小红书/抖音账号+社群,图文精美,景区学生票需要带什么证件能不能说明,,290,2026-09-03 15:15:11
S225,研一,医学类,1501-2000元,7次及以上,美食探店,独自一人,601-800元,交通,提前2周以上,小红书,交通接驳信息不清晰、攻略信息太分散，多APP切换、小众目的地信息太少、美食探店容易踩雷,住宿选择困难,偶尔使用,操作太复杂、行程模板太少、不能协同编辑,小众目的地种草、按预算推荐目的地和行程、现成学生党行程模板,无广告纯净体验,小红书/抖音账号+社群,图文精美,当地菜市场能不能推荐，想吃地道的,,270,2026-09-07 22:12:25
S226,大一,理工类,2001-2500元,1-2次,周边乡村/古镇、主题乐园、城市人文,朋友小团体(4人以上),401-600元,购物/伴手礼,提前1-2天,微博、小红书,交通接驳信息不清晰、攻略质量参差不齐，广告多,攻略信息太分散，多APP切换,完全没听说过,,按预算推荐目的地和行程、住宿区域推荐、当地美食红黑榜,独家小众目的地攻略,微信小程序,真实接地气(学长学姐经验),,,216,2026-09-04 16:44:03
S227,大四,教育类,2001-2500元,5-6次,自然风景,室友/同学(2-3人),201-400元,交通,提前1-2周,B站,美食探店容易踩雷、攻略质量参差不齐，广告多、攻略信息太分散，多APP切换,攻略信息太分散，多APP切换,听说过但没用过,,现成学生党行程模板、实时避坑提醒,都不愿意付费,网页版,真实接地气(学长学姐经验),青旅的真实评价太少了,愿意-wx_s3lww7op,139,2026-09-04 10:22:20
S228,大一,理工类,1501-2000元,1-2次,城市人文、美食探店,室友/同学(2-3人),601-800元,交通,提前1-2周,抖音、大众点评,小众目的地信息太少,美食探店容易踩雷,听说过但没用过,,旅行记账与AA分摊、交通接驳指南、当地美食红黑榜,都不愿意付费,都可以,图文精美,,,274,2026-09-06 22:42:30
S229,大一,经管类,2501-3000元,3-4次,美食探店、城市人文,家人,401-600元,餐饮,提前1-2周,小红书、抖音,交通接驳信息不清晰、攻略信息太分散，多APP切换、缺少学生视角的预算参考,攻略质量参差不齐，广告多,偶尔使用,交通时间不准,实时避坑提醒、交通接驳指南,都不愿意付费,微信小程序,真实接地气(学长学姐经验),,,186,2026-09-05 21:01:14
S230,大四,理工类,1000-1500元,3-4次,其他、周边乡村/古镇、美食探店,室友/同学(2-3人),601-800元,住宿,提前1-2天,小红书、微博,攻略信息太分散，多APP切换、其他、美食探店容易踩雷,攻略信息太分散，多APP切换,偶尔使用,推荐太商业化、行程模板太少,小众目的地种草,独家小众目的地攻略,微信小程序,简洁高效(直接给结论),,,227,2026-09-08 19:12:17
S231,研一,文史哲类,3000元以上,3-4次,城市人文、自然风景,朋友小团体(4人以上),801-1000元,门票/体验项目,提前1-2周,小红书、抖音,小众目的地信息太少、美食探店容易踩雷,没有现成行程模板,偶尔使用,操作太复杂、行程模板太少,小众目的地种草、当地美食红黑榜、按预算推荐目的地和行程,AI高级行程定制,微信小程序,真实接地气(学长学姐经验),,,266,2026-09-06 16:25:59
S232,大二,理工类,2001-2500元,1-2次,美食探店,室友/同学(2-3人),200元以下,购物/伴手礼,提前1-2天,小红书、朋友推荐、知乎,没有现成行程模板、交通接驳信息不清晰、小众目的地信息太少,没有现成行程模板,完全没听说过,,现成学生党行程模板、按预算推荐目的地和行程、出行搭子匹配,都不愿意付费,小红书/抖音账号+社群,图文精美,希望能看到实时的景区人流量,,196,2026-09-03 13:15:38
S233,大三,艺术类,1000-1500元,1-2次,美食探店,家人,201-400元,餐饮,提前2周以上,B站、小红书,攻略质量参差不齐，广告多、缺少学生视角的预算参考、一人出行难拼车/找搭子、交通接驳信息不清晰,缺少学生视角的预算参考,听说过但没用过,,按预算推荐目的地和行程、交通接驳指南,都不愿意付费,网页版,真实接地气(学长学姐经验),当地特色节日活动的信息想要,,181,2026-09-05 09:10:52
S234,大三,经管类,2001-2500元,3-4次,美食探店、周边乡村/古镇,室友/同学(2-3人),401-600元,餐饮,提前1-2天,大众点评,没有现成行程模板、住宿选择困难,攻略信息太分散，多APP切换,经常使用,不能协同编辑,现成学生党行程模板、实时避坑提醒、小众目的地种草,都不愿意付费,小红书/抖音账号+社群,有趣好玩有梗,青旅的真实评价太少了,愿意-wx_decbir1a,148,2026-09-01 19:37:50
S235,研二及以上,经管类,1501-2000元,0次,,,,,,,美食探店容易踩雷、没有现成行程模板、缺少学生视角的预算参考,缺少学生视角的预算参考,完全没听说过,,出行搭子匹配、实时避坑提醒、当地美食红黑榜、小众目的地种草,无广告纯净体验,微信小程序,真实接地气(学长学姐经验),周末短途游的推荐能不能更精准一些,愿意-wx_5o47aet8,272,2026-09-04 14:28:39
S236,大三,旅游/酒店管理类,1501-2000元,5-6次,其他,家人,801-1000元,交通,提前1-2天,知乎,交通接驳信息不清晰、攻略质量参差不齐，广告多、没有现成行程模板、小众目的地信息太少,小众目的地信息太少,偶尔使用,其他、推荐太商业化,住宿区域推荐、现成学生党行程模板,独家小众目的地攻略,微信小程序,简洁高效(直接给结论),拍照机位能不能标注出来,愿意-wx_rd399q68,203,2026-09-09 12:15:13
S237,大一,旅游/酒店管理类,2001-2500元,1-2次,城市人文、高校校园参观、自然风景,室友/同学(2-3人),401-600元,餐饮,提前3-7天,小红书、大众点评,攻略信息太分散，多APP切换、交通接驳信息不清晰、美食探店容易踩雷、小众目的地信息太少,没有现成行程模板,听说过但没用过,,实时避坑提醒、住宿区域推荐、当地美食红黑榜,其他,微信小程序,真实接地气(学长学姐经验),行李寄存的点能不能标注出来,愿意-wx_dd070en4,177,2026-09-10 20:00:19
S238,大一,文史哲类,2501-3000元,7次及以上,周边乡村/古镇,家人,401-600元,餐饮,提前3-7天,抖音,缺少学生视角的预算参考、住宿选择困难、攻略质量参差不齐，广告多、交通接驳信息不清晰,攻略信息太分散，多APP切换,偶尔使用,交通时间不准、不能协同编辑,现成学生党行程模板、其他、按预算推荐目的地和行程,都不愿意付费,独立APP,有趣好玩有梗,希望能有夜生活安全的提示,,176,2026-09-01 21:21:09
S239,大四,经管类,2001-2500元,5-6次,周边乡村/古镇、高校校园参观,男/女朋友,601-800元,交通,提前1-2周,其他,缺少学生视角的预算参考、交通接驳信息不清晰、其他、小众目的地信息太少,缺少学生视角的预算参考,偶尔使用,推荐太商业化、交通时间不准、不能按预算调整,按预算推荐目的地和行程、住宿区域推荐,都不愿意付费,网页版,有趣好玩有梗,景区学生票需要带什么证件能不能说明,,121,2026-09-10 11:28:44
S240,大三,旅游/酒店管理类,1000-1500元,7次及以上,周边乡村/古镇,独自一人,401-600元,餐饮,提前3-7天,抖音,交通接驳信息不清晰、攻略质量参差不齐，广告多、攻略信息太分散，多APP切换、缺少学生视角的预算参考、没有现成行程模板,美食探店容易踩雷,经常使用,交通时间不准、不能按预算调整、其他,现成学生党行程模板、按预算推荐目的地和行程、小众目的地种草、交通接驳指南,独家小众目的地攻略,小红书/抖音账号+社群,图文精美,希望能有大学生优惠门票的汇总信息,,301,2026-09-07 13:40:41
S241,大三,经管类,1000-1500元,1-2次,美食探店、主题乐园、城市人文,朋友小团体(4人以上),401-600元,交通,提前1-2周,小红书、抖音、OTA平台(携程/马蜂窝),缺少学生视角的预算参考、攻略信息太分散，多APP切换、小众目的地信息太少、住宿选择困难,缺少学生视角的预算参考,听说过但没用过,,现成学生党行程模板、出行搭子匹配,都不愿意付费,独立APP,真实接地气(学长学姐经验),一个人旅行的安全问题能不能有提示,,133,2026-09-02 11:55:38
S242,大三,经管类,1501-2000元,1-2次,城市人文,室友/同学(2-3人),201-400元,餐饮,提前1-2周,小红书,没有现成行程模板、缺少学生视角的预算参考,没有现成行程模板,听说过但没用过,,现成学生党行程模板、按预算推荐目的地和行程,都不愿意付费,都可以,真实接地气(学长学姐经验),希望能有省钱技巧的汇总,愿意-wx_rl69vsyx,91,2026-09-04 09:12:09
S243,大二,旅游/酒店管理类,3000元以上,5-6次,美食探店,室友/同学(2-3人),801-1000元,住宿,提前3-7天,抖音、B站,没有现成行程模板、一人出行难拼车/找搭子、交通接驳信息不清晰、美食探店容易踩雷、攻略信息太分散，多APP切换,攻略质量参差不齐，广告多,听说过但没用过,,其他、当地美食红黑榜、现成学生党行程模板、小众目的地种草,都不愿意付费,网页版,简洁高效(直接给结论),音乐节+旅行的组合攻略想要,,160,2026-09-07 15:01:38
S244,大二,理工类,1501-2000元,3-4次,城市人文、美食探店,室友/同学(2-3人),401-600元,交通,提前1-2周,小红书,缺少学生视角的预算参考、一人出行难拼车/找搭子,缺少学生视角的预算参考,偶尔使用,操作太复杂,交通接驳指南、出行搭子匹配、按预算推荐目的地和行程、小众目的地种草,都不愿意付费,微信小程序,真实接地气(学长学姐经验),周末短途游的推荐能不能更精准一些,,123,2026-09-06 21:24:11
S245,大二,医学类,3000元以上,3-4次,网红打卡点、自然风景、美食探店,室友/同学(2-3人),801-1000元,餐饮,提前3-7天,抖音,攻略信息太分散，多APP切换、小众目的地信息太少、一人出行难拼车/找搭子,攻略质量参差不齐，广告多,听说过但没用过,,现成学生党行程模板、旅行记账与AA分摊、出行搭子匹配、交通接驳指南,AI高级行程定制,都可以,有趣好玩有梗,希望能和同校的人组队出行,,299,2026-09-02 13:26:49
S246,大二,经管类,1000元以下,5-6次,城市人文,室友/同学(2-3人),401-600元,餐饮,提前3-7天,知乎,交通接驳信息不清晰、美食探店容易踩雷、攻略质量参差不齐，广告多、没有现成行程模板,没有现成行程模板,偶尔使用,行程模板太少,实时避坑提醒、住宿区域推荐、当地美食红黑榜,都不愿意付费,小红书/抖音账号+社群,真实接地气(学长学姐经验),,,123,2026-09-09 12:11:04
S247,大二,经管类,1501-2000元,1-2次,自然风景,室友/同学(2-3人),1000元以上,交通,提前3-7天,抖音,攻略质量参差不齐，广告多、小众目的地信息太少、没有现成行程模板,攻略质量参差不齐，广告多,完全没听说过,,实时避坑提醒,都不愿意付费,微信小程序,真实接地气(学长学姐经验),当地菜市场能不能推荐，想吃地道的,,170,2026-09-02 09:22:56
S248,大四,理工类,1000元以下,3-4次,城市人文,朋友小团体(4人以上),201-400元,交通,提前3-7天,朋友推荐,攻略质量参差不齐，广告多、缺少学生视角的预算参考,攻略质量参差不齐，广告多,完全没听说过,,旅行记账与AA分摊、当地美食红黑榜,都不愿意付费,微信小程序,图文精美,,,302,2026-09-04 10:12:18
S249,大一,理工类,2001-2500元,7次及以上,美食探店,家人,1000元以上,购物/伴手礼,说走就走,大众点评、朋友推荐,缺少学生视角的预算参考、小众目的地信息太少、美食探店容易踩雷,缺少学生视角的预算参考,完全没听说过,,按预算推荐目的地和行程、旅行记账与AA分摊、出行搭子匹配、现成学生党行程模板,无广告纯净体验,小红书/抖音账号+社群,真实接地气(学长学姐经验),,,232,2026-09-01 15:30:18
S250,大二,经管类,1501-2000元,3-4次,主题乐园、城市人文、周边乡村/古镇,男/女朋友,1000元以上,交通,提前1-2周,抖音,小众目的地信息太少、没有现成行程模板,攻略信息太分散，多APP切换,完全没听说过,,现成学生党行程模板、按预算推荐目的地和行程,其他,都可以,简洁高效(直接给结论),,愿意-wx_bolwimrs,244,2026-09-01 13:07:17
S251,大二,旅游/酒店管理类,2001-2500元,3-4次,城市人文,独自一人,601-800元,住宿,提前1-2天,B站、小红书,攻略质量参差不齐，广告多、没有现成行程模板、缺少学生视角的预算参考,攻略信息太分散，多APP切换,听说过但没用过,,小众目的地种草、住宿区域推荐,都不愿意付费,独立APP,简洁高效(直接给结论),希望有雨天备选方案,,178,2026-09-02 10:08:40
S252,大四,经管类,1501-2000元,7次及以上,周边乡村/古镇、城市人文、自然风景,独自一人,1000元以上,餐饮,提前3-7天,其他、小红书,攻略信息太分散，多APP切换、攻略质量参差不齐，广告多、没有现成行程模板,攻略质量参差不齐，广告多,完全没听说过,,实时避坑提醒、小众目的地种草、住宿区域推荐,无广告纯净体验,微信小程序,专业严谨数据详实,拍照机位能不能标注出来,,122,2026-09-10 13:44:08
S253,大二,其他,1000元以下,7次及以上,周边乡村/古镇,室友/同学(2-3人),401-600元,门票/体验项目,提前2周以上,抖音,没有现成行程模板、缺少学生视角的预算参考、交通接驳信息不清晰、攻略质量参差不齐，广告多、攻略信息太分散，多APP切换,没有现成行程模板,偶尔使用,推荐太商业化,小众目的地种草、当地美食红黑榜、现成学生党行程模板、行程共享与协同编辑,AI高级行程定制,微信小程序,真实接地气(学长学姐经验),,,243,2026-09-03 13:59:08
S254,大二,教育类,2001-2500元,1-2次,主题乐园,独自一人,401-600元,餐饮,提前1-2天,知乎,小众目的地信息太少、缺少学生视角的预算参考、交通接驳信息不清晰,攻略信息太分散，多APP切换,完全没听说过,,现成学生党行程模板、旅行记账与AA分摊、按预算推荐目的地和行程,都不愿意付费,都可以,图文精美,周末短途游的推荐能不能更精准一些,,256,2026-09-07 19:16:55
S255,大三,艺术类,1000-1500元,3-4次,自然风景、美食探店,男/女朋友,401-600元,交通,提前1-2天,抖音、小红书,攻略质量参差不齐，广告多、住宿选择困难、没有现成行程模板,交通接驳信息不清晰,听说过但没用过,,现成学生党行程模板、实时避坑提醒,都不愿意付费,小红书/抖音账号+社群,真实接地气(学长学姐经验),希望能看到实时的景区人流量,愿意-wx_i68ds03v,176,2026-09-07 09:07:52
S256,大一,旅游/酒店管理类,3000元以上,1-2次,自然风景,家人,801-1000元,门票/体验项目,说走就走,大众点评,住宿选择困难、攻略信息太分散，多APP切换、小众目的地信息太少,住宿选择困难,完全没听说过,,小众目的地种草、按预算推荐目的地和行程、当地美食红黑榜,都不愿意付费,微信小程序,有趣好玩有梗,周末短途游的推荐能不能更精准一些,,106,2026-09-09 22:26:09
S257,大一,理工类,1000-1500元,1-2次,美食探店、城市人文,男/女朋友,201-400元,门票/体验项目,提前1-2周,抖音,攻略质量参差不齐，广告多、一人出行难拼车/找搭子,缺少学生视角的预算参考,经常使用,操作太复杂、推荐太商业化,实时避坑提醒、交通接驳指南,独家小众目的地攻略,独立APP,简洁高效(直接给结论),,,250,2026-09-05 18:52:18
